id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,advertisement,tiki_live,original_price,shippable,impression_info
166145145,8765818936965,Tổng đài điện thoại Adsun FX208PC hàng chính hãng,tong-dai-dien-thoai-adsun-fx208pc-hang-chinh-hang-p166145145,tong-dai-dien-thoai-adsun-fx208pc-hang-chinh-hang-p166145145.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202206060600_MD_batched_PID.166145146&itm_medium=CPC&itm_source=tiki-reco&spid=166145146,simple,,,Adsun,"
Cấu hình tổng đài 2 Line vào, ra 8 máy nhánh
Hỗ trợ chuyển cuộc gọi và gọi nội bộ
Nhiều kiểu chuông
Tự lập trình trên điện thoại (không cần bàn lập trình)
Thích hợp sư dụng cho doanh nghiệp nhỏ ,...",1980000,1980000,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e0/41/da/bb0fc684a838eff5e264ce0534a148f0.png', 'icon_height': 18, 'icon_width': 58, 'placement': 'top', 'type': 'icon_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/db/16/23/b7fa82ac88f46b482cad518b2c493046.jpg,280,280,[],False,available,False,2651,,,False,False,{'fulfillment_type': 'dropship'},,[],"{'max_sale_qty': 30, 'min_sale_qty': 1, 'preorder_date': False, 'qty': 0}",,166145146,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,,1980000,True,"[{'impression_id': 'thanos-product-o4Id5f1g4B1Nl3Rt', 'metadata': {'price': 1980000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 166145146}}, {'impression_id': 'f6ae9446-f8c9-431b-9fc6-e9033b083739', 'metadata': {'product_id': 2651, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202206060600'}}]"
163798660,7519033658804,Máy tính bảng Lenovo Tab M10 - Gen 2 - Hàng chính hãng,may-tinh-bang-lenovo-tab-m10-gen-2-hang-chinh-hang-p163798660,may-tinh-bang-lenovo-tab-m10-gen-2-hang-chinh-hang-p163798660.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202206060600_MD_batched_PID.163798661&itm_medium=CPC&itm_source=tiki-reco&spid=163798661,simple,,,Lenovo,""" 

Lenovo ra mắt Lenovo Tab M10 Gen 2 mang phong cách thiết kế với màn hình rộng 10 inch, viên pin khủng 5000 mAh và có cấu hình ổn được bán ra với mức giá rất hấp dẫn. 

Thiết kế hoàn thiện mang...",3990000,5190000,"[{'code': 'installment', 'month': '6', 'price': 665000, 'text': 'Trả góp 0%'}]","[{'code': 'installment', 'icon': 'https://salt.tikicdn.com/ts/upload/fc/d8/25/e61805952396b6ed4143194298112b0a.png', 'icon_height': 16, 'icon_width': 16, 'placement': 'benefits', 'text': 'Trả góp', 'type': 'benefits_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/b9/1f/4b/557eac9c67a4466ccebfa74cde854215.png', 'icon_height': 18, 'icon_width': 74, 'placement': 'top', 'type': 'icon_badge'}]",1200000,23,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/25/78/0e/8a970b240dfeaaebb4db96a0069d4cba.jpg,280,280,[],False,available,False,2645,,,False,False,{'fulfillment_type': 'seller_delivery'},,[],"{'max_sale_qty': 1, 'min_sale_qty': 1, 'preorder_date': False, 'qty': 0}",,163798661,"{'month': '6', 'price': 665000, 'redirect_url': 'https://tiki.vn/installment?masterId=163798660&spid=163798661'}",,False,"{'text': 'Đã bán 1', 'value': 1}",,,,5190000,True,"[{'impression_id': 'thanos-product-fHIgQ7NDiyuyreKO', 'metadata': {'price': 3990000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 163798661}}, {'impression_id': '530ba55d-e6e5-402c-a51b-d863cf73effd', 'metadata': {'product_id': 2645, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202206060600'}}]"
179489992,4131909459219,Điện thoại Samsung Galaxy Z Flip3 5G (8GB/256GB) - Hàng chính hãng,dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992,dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202206060600_MD_batched_PID.179489998&itm_medium=CPC&itm_source=tiki-reco&spid=179489998,configurable,,,Samsung,"Nối tiếp thành công của Galaxy Z Flip 5G, trong sự kiện Galaxy Unpacked vừa qua Samsung tiếp tục giới thiệu đến thế giới về Galaxy Z Flip3 5G 256GB. Sản phẩm có nhiều cải tiến từ độ bền cho đến hiệu...",21990000,26990000,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/b9/1f/4b/557eac9c67a4466ccebfa74cde854215.png', 'icon_height': 18, 'icon_width': 74, 'placement': 'top', 'type': 'icon_badge'}]",5000000,19,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/94/fe/6a/2e15a2dcba9e9a430bed20ecbb56d351.jpg,280,280,[],False,available,False,2647,,,False,False,{'fulfillment_type': 'seller_delivery'},,"[{'display_name': 'tím', 'is_default': 1, 'list_price': 21990000, 'original_price': 21990000, 'price': 21990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/94/fe/6a/2e15a2dcba9e9a430bed20ecbb56d351.jpg', 'spid': 179489998, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/94/fe/6a/2e15a2dcba9e9a430bed20ecbb56d351.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992.html?spid=179489998'}, {'display_name': 'Xanh Lá', 'is_default': 0, 'list_price': 21990000, 'original_price': 21990000, 'price': 21990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/f0/a7/51/a9a0cc75894babd49da8a12eb2f26867.jpg', 'spid': 179489994, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/f0/a7/51/a9a0cc75894babd49da8a12eb2f26867.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992.html?spid=179489994'}, {'display_name': 'đen', 'is_default': 0, 'list_price': 21990000, 'original_price': 21990000, 'price': 21990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/0d/40/3d/2088aaea1460eae933a729cd1a74d7a4.jpg', 'spid': 179490002, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/0d/40/3d/2088aaea1460eae933a729cd1a74d7a4.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992.html?spid=179490002'}, {'display_name': 'Kem', 'is_default': 0, 'list_price': 21990000, 'original_price': 21990000, 'price': 21990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/c7/51/f1/7d598ddb4c1e930ea5d9ed411f1b22f3.jpg', 'spid': 179490000, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/c7/51/f1/7d598ddb4c1e930ea5d9ed411f1b22f3.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-flip3-5g-8gb-256gb-hang-chinh-hang-p179489992.html?spid=179490000'}]","{'max_sale_qty': 1, 'min_sale_qty': 1, 'preorder_date': False, 'qty': 0}",,179489998,,,False,,,,,26990000,True,"[{'impression_id': 'thanos-product-53NVOwFZhmPtfInj', 'metadata': {'price': 21990000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 179489998}}, {'impression_id': '00d88906-2104-4edb-91c9-de0d77adbb05', 'metadata': {'product_id': 2647, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202206060600'}}]"
179455426,7427976063775,Điện thoại Samsung Galaxy Z Fold3 5G (12GB/512GB) - Hàng chính hãng,dien-thoai-samsung-galaxy-z-fold3-5g-12gb-512gb-hang-chinh-hang-p179455426,dien-thoai-samsung-galaxy-z-fold3-5g-12gb-512gb-hang-chinh-hang-p179455426.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202206060600_MD_batched_PID.179460502&itm_medium=CPC&itm_source=tiki-reco&spid=179460502,configurable,,,Samsung,"Galaxy Z Fold3 5G đánh dấu bước tiến mới của Samsung trong phân khúc điện thoại gập cao cấp khi được cải tiến về độ bền cùng những nâng cấp đáng giá về cấu hình hiệu năng, hứa hẹn sẽ mang đến trải...",37990000,44990000,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/b9/1f/4b/557eac9c67a4466ccebfa74cde854215.png', 'icon_height': 18, 'icon_width': 74, 'placement': 'top', 'type': 'icon_badge'}]",7000000,16,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/30/bb/d3/60411fc20d7fdbc1ac0c14a49c6b6bce.jpg,280,280,[],False,available,False,2647,,,False,False,{'fulfillment_type': 'seller_delivery'},,"[{'display_name': 'Bạc', 'is_default': 1, 'list_price': 37990000, 'original_price': 37990000, 'price': 37990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/30/bb/d3/60411fc20d7fdbc1ac0c14a49c6b6bce.jpg', 'spid': 179460502, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/30/bb/d3/60411fc20d7fdbc1ac0c14a49c6b6bce.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-fold3-5g-12gb-512gb-hang-chinh-hang-p179455426.html?spid=179460502'}, {'display_name': 'Đen', 'is_default': 0, 'list_price': 37990000, 'original_price': 37990000, 'price': 37990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/06/ff/73/3bf227a197a1fbf86be7a2155e8f79c1.jpg', 'spid': 179458935, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/06/ff/73/3bf227a197a1fbf86be7a2155e8f79c1.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-fold3-5g-12gb-512gb-hang-chinh-hang-p179455426.html?spid=179458935'}, {'display_name': 'Xanh lá', 'is_default': 0, 'list_price': 37990000, 'original_price': 37990000, 'price': 37990000, 'small_thumbnail': 'https://salt.tikicdn.com/cache/64x64/ts/product/c4/b8/0b/ed810fbc7e3e0e697740fef7b62f5edf.jpg', 'spid': 179457622, 'thumbnail': 'https://salt.tikicdn.com/cache/200x200/ts/product/c4/b8/0b/ed810fbc7e3e0e697740fef7b62f5edf.jpg', 'url_path': 'dien-thoai-samsung-galaxy-z-fold3-5g-12gb-512gb-hang-chinh-hang-p179455426.html?spid=179457622'}]","{'max_sale_qty': 1, 'min_sale_qty': 1, 'preorder_date': False, 'qty': 0}",,179460502,,,False,,,,,44990000,True,"[{'impression_id': 'thanos-product-dhLcwAeZHkEBaft6', 'metadata': {'price': 37990000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 179460502}}, {'impression_id': '074c2688-f017-43f3-a0ce-0d2aa5d9ef80', 'metadata': {'product_id': 2647, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202206060600'}}]"
163798558,3798081629609,Máy tính bảng Xiaomi Pad 5 256GB - Hàng chính hãng,may-tinh-bang-xiaomi-pad-5-256gb-hang-chinh-hang-p163798558,may-tinh-bang-xiaomi-pad-5-256gb-hang-chinh-hang-p163798558.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202206060600_MD_batched_PID.163798564&itm_medium=CPC&itm_source=tiki-reco&spid=163798564,configurable,,,Xiaomi,""" 
